;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38;V39;V40;V41;V42;V43;V44;V45;V46;V47;V48;V49;V50;V51;V52;V53;V54;V55;V56;V57;V58;V59;V60;V61;V62;V63;V64;V65;V66;V67;V68;V69;V70;V71;V72;V73;V74;V75;V76;V77;V78;V79;V80;V81;V82;V83;V84;V85;V86;V87;V88;V89;V90;V91;V92;V93;V94;V95;V96;V97;V98;V99;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;V156;V157;V158;V159;V160;V161;V162;V163;V164;V165;V166;V167;V168;V169;V170;V171;V172;V173;V174;V175;V176;V177;V178;V179;V180;V181
1;4,34887;10,84134;45,75145;12,46298;12,07285;13,65706;16,87158;0,51508;24,36075;27,92691;79,07365;4,07095;40,08061;17,42055;23,90995;36,87721;25,04120;12,01326;4,50601;85,09897;6,88616;12,39740;29,10284;38,84098;12,71793;16,64917;31,94149;13,20438;34,68776;11,65927;8,54536;7,70950;11,74474;5,48220;4,65995;17,23189;9,03489;28,91908;5,26331;21,04506;11,54920;11,25869;15,77887;13,83783;16,59337;6,08490;17,20228;24,34775;7,50503;24,76559;48,86414;10,74901;5,39020;808,53408;16,09570;75,66218;9664,26976;39,37069;8,97944;2,40105;2,46639;3,78110;112,21364;11,55997;69,79633;12036,08619;189,93110;12,78839;19,02139;18,83186;12,15258;6,89032;103,24774;48,06447;27,32001;4,17752;13,69425;41,52155;5,03143;98,40229;0,04888;13,04274;31,72127;69,33850;2,23951;22,40206;4,58892;10,04793;1,64072;19,96198;15,64083;9,95566;23,39251;35,90086;12,43225;0,20186;6,29154;3,09702;17,97438;0,04339;21,44893;7,53750;89,02871;15,29320;8,50218;19,55451;4,76121;161,52485;5,97041;6,74279;32,75200;27,50146;208,58946;17,99332;40,89540;59,55708;15,57117;26,89769;46,83149;5,33657;17,49832;395,96768;14,92098;168,91919;50,10016;29,41012;1,82029;49,65243;47,49157;6,52484;27,99380;230,52614;27,57967;1,88715;173,00819;4,33664;0,30927;29,02219;18,39796;4,47453;4,24802;221,55431;77,11881;26,46783;17,90552;4,69005;2,02865;16,32898;9,64820;21,55385;12,18800;65,43703;8,39995;1,19537;21,53970;70,55315;27,78180;30,93168;14,96574;35,94857;4,55863;19,00345;52,36169;4,97720;47,26138;25,25945;12777,37953;6978,00376;9695,49961;1059,73302;20680,81701;5940,67720;16801,28395;0,23526;3,48324;6,42173;11,21913;22,66253;13,86592;5,70919;0,24524
2;52,09750;142,80686;53,62802;11,39542;356,59549;187,32778;370,63537;138,75674;171,03732;239,79763;101,28671;1005,70027;477,57593;259,18849;273,44165;40,76562;21,09402;153,31774;29,66831;262,93986;92,41135;23,08280;567,40178;86,53180;147,91348;277,53525;109,68730;54,82237;17,95405;14,50661;81,16181;159,88666;213,80949;124,69455;875,18055;257,94860;650,75563;56,53644;79,59989;152,54215;147,00153;56,07240;386,71787;452,84356;79,50217;90,03826;160,97805;70,66310;190,13367;8,93530;564,27826;39,40238;330,67020;748,55278;1168,84272;718,19314;252,38282;685,07668;457,63910;654,26152;397,03278;349,56634;841,59164;411,31084;385,56630;2254,87513;701,70987;469,92113;69,50602;617,39916;13,60138;645,93974;51,49248;379,13064;15,68580;149,22834;67,36719;417,69408;101,60534;712,34469;644,19638;914,31243;262,92070;470,54946;25,18169;434,65321;1140,13763;330,48607;10,32694;454,52912;351,14537;53,47582;23,00344;188,54099;288,86571;761,58854;201,73564;94,91681;347,98761;420,62278;433,03570;122,23639;403,49387;138,03310;864,68059;110,61830;437,40706;442,31867;73,73009;593,24772;88,93793;283,72457;972,18749;383,43000;759,42589;404,07408;343,91620;116,07263;611,90486;822,74871;523,21428;766,58242;15,80462;476,21771;382,08040;334,85151;442,09417;660,61107;391,03477;714,36110;335,99137;783,50797;338,40285;327,76766;350,06886;224,33821;798,34744;378,41732;470,93672;367,43758;757,82398;716,38376;642,00807;479,80029;129,06756;336,62762;866,75210;875,28497;619,25104;110,88381;871,20362;523,78071;16,20225;394,58852;432,07368;119,43550;710,42258;227,24057;58,16348;521,21928;5,48215;340,21398;718,58790;178,27345;107,58760;484,72323;1145,48418;1697,10497;449,28187;495,21955;46,68015;1600,99697;976,87686;27,61650;84,88917;90,83720;8,84888;98,84068;144,06093;79,97303;99,94172
3;5,12336;19,56038;1,84811;38,02593;26,38326;1,86429;5,85287;38,70609;80,44598;31,16958;87,75118;24,95287;18,49026;65,30534;1088,41217;4,35786;13,71146;108,77381;9,64715;0,18626;3,42388;7,13937;1,38482;3,09017;0,62398;21,87084;8,97995;32,22596;30,51622;1,63791;13,86563;2,67619;1,36110;3,58979;0,65787;2,02965;3,22474;2,68268;5,62733;17,70017;10,46206;19,03677;34,63679;35,85688;11,02378;2,79636;3,54722;4,69948;28,29021;1,24729;4552,69362;4164,86409;5947,48077;9374,49131;10059,95591;7282,77197;395,61910;35,27570;13,38210;90,53690;32,89598;7,98515;108,73675;11,78171;61,24977;1104,75665;8,80052;10,47912;58,21400;18,29802;7,02148;4,38533;34,28296;29,08228;9,10672;1,59818;5,23476;41,66439;13,26661;5,21021;48,01686;14,68179;40,77620;59,78833;3,47955;31,99012;51,14012;22,52051;3,19979;7,01460;22,90668;1,52435;7,30198;5,34103;10,73226;116,63497;3,53518;1,61087;10,59959;16,97363;141,02015;6,91525;45,51560;8,74461;20,82542;2,76724;17,14734;14,47522;5,47753;10,71198;5,74196;871,65992;23,51988;13,46619;57,16851;16,84564;0,25905;596,73842;41,35890;206,30974;7,31614;44,24180;17,81995;46,96879;8,34332;15,49786;59,87629;21,95242;11,04428;143,26464;25,64532;1,02282;56,76475;31,34398;35,82584;9,95856;112,26543;4,97438;39,12453;5,71008;13,71335;34,43946;5,49477;0,07938;161,23968;36,39698;31,81677;2,38600;3,45145;3,98624;19,22474;4,17679;578,98734;12,86049;21,07724;6,80923;19,84375;51,43835;3,15050;126,65952;3,44035;23,92565;67,74351;620,33519;16,79334;34,60474;34,93913;4,46905;9,32331;37,94952;16,85738;11,13047;5,13084;12,25229;10,11578;318,48691;320,53942;36,30241;13,13674;4,33476;9,07742
4;2,09693;1,70770;4,91801;5,67440;9,69064;43,48235;2,46670;8,82493;1,33964;1,49129;10,08471;88,46943;5,37928;12,80463;2,80853;0,58219;3,68945;2,02306;1,28420;19,68299;8,07832;6,50748;22,02450;4,28039;4,93539;0,27220;56,43619;3,08844;22,31284;18,71519;23,43820;2,15072;5,18318;0,61971;5,77567;5,56754;10,92627;1,28832;12,41135;4,34243;1,50823;0,58220;3,93213;20,37114;6,33921;1,29177;4,80178;1,09450;10,68928;13,54882;0,40748;9,03308;18,60611;3,32934;3,11049;5,10775;5,69033;63,51466;7,63016;1,38763;2,77057;5,59648;23,36976;3,38024;18,98471;946,80603;7,30959;2,90817;25,65414;4,73702;0,50107;44,72896;0,56059;3,50403;8,69221;14,27588;0,32872;17,98149;9,82333;15,71448;4,92812;15,63874;1,54719;0,21361;8,47033;5,89054;9,79705;1,74774;1,30746;14,94814;19,15784;2,38791;9,00309;4,37041;1,52044;28,31141;11,07145;1,84007;20,85548;13,86144;13,86010;4,58266;0,16924;0,67404;32,20537;26,13794;20,44537;59,25075;2,06144;2,92192;0,50215;66,57504;4,09298;36,99059;4,76944;7,56343;21,04255;4,90609;2,04039;12,09946;10,18227;3,02863;10,67337;12,23469;11,20291;4,26272;1,23392;18,98565;0,74731;65,05763;8,51724;15,94067;5,43924;17,17624;42,40262;24,25341;11,52996;6,64778;8,41660;3,35007;11,36964;3,10240;1,06581;9,45498;2,08415;1,05806;105,19380;5,77057;0,20246;0,30240;17,31643;33,89887;48,65930;18,50731;1,15770;12,06400;5,63876;6,91830;5,69689;4,80567;6,31333;0,56196;7,76525;3,05937;9,53039;8,02634;13147,83662;1153,33035;3779,64916;274,27598;12080,92553;4103,58291;11802,74354;9,61407;9,56206;3,11873;4,06916;11,31308;2,44906;1,59131;0,89718
5;15,75194;22,18189;14,71523;13,61803;63,07452;5,69322;69,01443;47,68008;12,14553;1,24467;17,74697;12,63261;6,66077;12,86735;14,07258;5,17541;15,86676;42,35710;2,26752;4,63868;11,38137;5,94829;51,07897;5,08764;2,49186;57,05647;16,50415;7,44094;39,46261;3,69806;2,11438;1,95241;1,53852;25,48461;17,01126;1,38425;30,47253;5,25972;6,60138;71,66881;4,43797;58,98103;3,07156;19,26106;0,94568;37,73871;4,52765;7,28118;23,75833;10,08892;48,14326;0,07878;26,59482;6,39384;6,75807;7,93286;3,45955;38,91390;3,66411;10,32932;11,54422;8,07879;27,88987;16,56102;15,47822;228,72875;4,12730;1,90577;3,30285;1,64487;1,08073;36,75605;2,91329;21,37792;14,16096;27,90582;16,74496;2,16500;14,80141;63,44874;19,05891;0,28587;38,28005;17,79809;13,07677;13,41810;142,95544;1,51765;9,16735;15,89151;24,33814;4,37271;3,34440;28,01424;6,59340;20,04303;31,10737;2,06839;13,56833;5,86901;1,94896;8,87809;24,41235;9,66281;37,47943;5,85953;3,71500;7,62819;6,80457;26,17443;5,94013;10,71314;3,44891;48,45982;22,12151;20,33430;7,63832;3,13344;41,30587;14,73235;58,09502;2,09282;15,99068;28,67802;24,71459;1,91537;8,77515;2,69321;40,33550;43,41379;47,35313;7,30639;125,39331;8,88785;30,14039;15,77991;36,84504;0,09325;29,15185;40,69266;14,50913;21,31638;0,96373;49,39117;3,30294;3,81408;17,52358;24,18598;1,13607;7,96192;33,13394;12,41285;13,34942;4,89749;7,52275;5,85208;18,46326;0,92241;21,91675;0,11190;12,04525;0,88605;40,31692;33,57712;3,96767;5,13783;6607,69054;44,68605;8805,08002;20,49153;12530,87053;5283,10589;7726,41145;1,22962;2,46120;10,51263;3,11540;3,87176;4,99524;6,54715;41,76467
6;5,26031;12,44601;6,59824;18,65986;12,91293;14,04790;5,20412;1,52123;1,69455;0,17460;2,42745;8,90228;45,34003;17,72906;69,65985;4,79406;9,90704;13,54442;4,20578;10,87374;37,72921;11,38652;8,04581;5,51324;43,87514;2,38546;9,96084;8,36514;12,32445;35,19315;19,50484;3,65737;5,22909;27,51892;2,68484;16,10512;8,09808;28,53028;5,53219;47,73127;45,03519;12,51347;22,43697;17,04018;8,58461;4,24324;20,16396;28,66790;7,34654;6,50222;498,84430;955,18862;26,39012;7,55509;2390,68052;35,65121;1040,89016;37,54991;125,09810;46,31545;108,78000;30,36778;38,87064;25,11016;104,66501;14,06155;13,12122;4,36246;4,92258;148,52998;104,71331;208,45365;13,08790;11,56692;5,48004;84,11991;5,73029;18,96176;38,43875;2,06205;39,78882;275,61650;2,36770;93,63345;3,69173;1,44247;21,82838;8,64840;2,34017;61,56404;39,63398;5,46010;2,62573;10,63347;8,74458;88,61364;24,30460;2,47454;28,01264;23,22876;76,59758;83,22049;8,58093;6,78933;222,94470;171,78695;31,49278;7,93274;3,53304;32,97612;45,09830;274,90695;59,85544;20,30492;1,98547;32,71104;19,70478;286,28551;39,25775;20,33564;69,91972;46,69892;9,49646;48,95961;77,37823;24,95966;42,92998;60,57005;4,80790;11,27116;2,16165;2,50176;14,81697;19,09993;1,91308;4,11122;2,47392;22,40946;1,06215;40,77945;97,68689;20,83589;32,39675;7,12904;337,00327;11,41430;9,78235;45,99652;19,69646;18,49477;151,49767;38,18963;286,76940;4,62292;4,62332;39,31649;38,91026;49,53823;29,39471;6,43418;8,26430;35,81924;1,86165;195,94071;5,88804;7,78914;4189,43150;893,20365;1103,58831;219,44688;4496,17701;55,74181;3971,75103;4,32259;1,76474;3,80941;78,60859;15,99376;19,59156;14,44142;23,89824
7;130,20850;110,67424;170,18664;135,47437;421,69763;72,16399;62,28240;170,94362;193,49675;169,01267;23,71076;52,14954;154,61800;799,61745;594,06973;43,28205;97,04362;1264,20602;228,36672;512,27562;359,99826;23,22625;263,95352;601,11872;100,45981;166,24302;570,58031;36,06247;627,69472;171,75837;23,82452;32,36180;62,27316;85,56987;101,92030;502,19977;193,27603;242,30993;269,68877;311,96048;398,09763;96,24678;822,18050;144,98629;90,28492;314,73980;184,87504;203,11629;263,37999;74,37605;28,29173;3,42752;148,77236;318,08850;45,59980;41,65271;2,63243;34,90699;567,17471;52,38527;0,26573;38,74599;9,52082;40,79749;31,93948;249,32785;45,50870;153,64722;13,97388;105,77560;18,81515;32,23834;3,85639;105,38550;14,48666;4,20311;19,71800;38,93781;4,82055;61,04371;15,67418;299,03304;5,26871;18,72355;2,74820;43,67111;290,38040;5,42884;3,65571;5,50901;23,86650;16,33320;9,62950;63,24627;7,13449;34,56435;5,83713;5,37717;44,72822;118,89808;26,96353;39,16015;79,16933;79,86318;42,27022;9,10950;32,30657;5,37210;4,16728;5,01639;4,21706;98,25009;25,68450;7,73307;248,53655;48,55383;33,87560;18,17775;252,02123;75,12214;74,95264;166,73293;6,11649;200,99432;12,69246;29,21702;44,80567;119,61024;50,06581;157,38466;39,32711;45,16916;457,56107;5,35377;41,12071;140,02628;126,73904;14,73506;24,70115;395,40450;267,03476;91,87962;69,47939;192,25585;16,75182;68,38224;55,01969;85,59995;10,23899;4,19899;40,97786;355,00116;43,54924;26,38847;52,46163;16,38151;21,46687;61,93791;10,55301;81,58704;1,71874;3,46830;38,56938;6,41202;44,00661;38,51646;28,25271;605,00803;129,30395;72,09787;132,09422;898,07546;1,34438;51,62857;189,07707;231,69262;18,59105;143,88367;449,75721;15,89386;151,85587
8;6,48987;157,36196;2,75219;76,96444;19,63871;7,02895;1,00309;27,69800;154,84385;76,82957;204,06816;2,48452;0,94042;26,19281;113,32350;120,20013;25,55356;83,09799;2,37832;8,70518;33,26297;6,03383;19,16068;18,60158;9,31003;8,13988;16,72451;10,02140;13,37770;4,49437;1,21299;33,36109;27,60315;16,93601;3,09341;13,94644;6,77271;22,05413;17,40061;9,02100;3,89436;27,54105;32,17910;26,74927;7,49221;9,38330;1,81115;79,59397;136,37980;6,87090;16,79227;103,84621;242,04615;5,87625;42,95417;42,61793;22,77240;58,14686;80,01437;32,08950;51,78529;0,62102;44,19491;96,47946;165,89821;1018,43208;92,74663;52,85063;274,20624;64,70196;109,38846;90,52301;10,29979;58,98890;66,44505;21,09027;37,71898;43,64027;7,62270;57,71793;14,63045;1988,48038;56,89857;61,82196;3,56453;7,62425;185,20895;69,17100;0,84194;29,26749;44,07154;3,75771;0,53402;5,08342;32,30319;413,92070;40,39929;6,23300;876,04967;48,22580;78,50544;24,25700;23,57491;15,21213;238,51703;485,89113;27,03858;6,89566;24,92546;50,15340;4,41820;47,75153;127,75962;30,61742;34,78344;64,11226;53,71500;5,49953;104,54798;57,42466;61,97824;210,11653;27,73138;130,88061;125,49696;54,28824;31,64854;74,37492;19,38189;1,70888;89,56963;37,53900;31,42064;14,64256;159,29062;52,23984;39,73244;67,87450;19,39150;116,76111;139,23530;39,97338;48,61633;82,18897;49,99969;38,12492;114,78129;210,33457;51,86145;17,29978;345,02105;120,28055;15,93562;3,46419;90,74714;40,39643;42,18254;18,48533;16,73388;8,17231;6,90965;35,94604;98,89101;5,08901;9,36706;47,64056;1323,58403;2163,67248;153,36933;602,81624;88,27907;298,45930;1499,18949;189,19754;0,59146;103,42492;56,94928;8,51987;39,74917;5,05931;2,00936
9;66,58508;83,80749;71,44040;52,39247;57,85655;141,58633;229,30914;237,03630;159,14403;148,23123;7,50552;119,87339;120,48853;6,05300;7,91407;46,16747;69,73850;34,63159;29,69698;161,74758;146,73071;160,78960;111,01156;103,95218;206,33911;137,64921;49,61016;224,17325;22,76367;135,91737;188,16175;242,21270;204,78173;174,37864;140,35569;75,68705;47,57571;111,29840;127,35318;231,40913;148,73870;281,70648;143,45834;349,44144;142,09392;139,35004;182,25732;42,67429;158,14433;28,06218;224,84495;11,31798;24,12351;19,22683;5,81505;145,85081;88,90736;42,61711;30,74143;118,19666;21,60635;50,56261;55,67512;75,94261;90,91049;168,23604;69,77895;13,50529;26,44242;27,13028;2,82348;5,78737;124,85390;80,05481;9,45472;32,77510;19,26849;6,11599;5,11846;48,55109;68,41370;83,74878;115,89286;38,93541;10,09078;9,15654;2,74262;158,09660;6,86153;65,63576;79,40797;12,22192;53,70040;4,11874;13,53896;154,87185;10,79231;37,22921;1,60056;9,80031;52,34452;12,01015;17,89693;6,19675;37,20958;27,63159;27,08826;104,09833;40,72634;34,50102;86,36634;29,85905;56,16354;26,37739;0,76720;104,56843;97,09654;11,23302;43,60445;66,28085;120,84259;55,72392;31,11797;23,61893;79,23046;28,41907;26,51575;51,06108;100,31406;86,48152;75,34607;94,35313;10,39872;67,59028;67,58681;73,66799;147,97349;68,04353;133,20586;23,49492;80,99537;81,02443;34,27865;43,89917;33,30001;5,23422;60,94126;46,89182;123,99549;17,39591;50,03707;38,62675;7,23328;18,29318;51,90162;10,12765;4,11074;58,75785;27,53096;96,42300;30,81840;153,91714;71,24798;49,45493;21,63824;101,50047;105,31596;23,91180;193,59104;4,25595;92,73459;112,29086;202,38116;17,14633;176,42859;117,39441;5,78997;397,27082;49,29032;101,68112;105,36444
10;6,37019;25,45507;6,29435;16,85115;8,09964;25,04730;7,37815;6,69745;13,21299;11,14501;14,39145;16,69815;10,67696;51,59145;43,60592;10,51618;13,11729;74,17676;4,23775;2,29298;39,23817;4,88763;5,63806;15,79398;4,17114;0,24609;19,26116;6,00544;6,03829;23,89036;14,42216;12,62250;21,48208;14,04855;21,94351;7,08718;13,64297;2,05631;11,44938;20,69797;51,13185;1,08808;14,96458;3,04826;12,03129;0,34278;9,61313;12,70453;60,01165;5,37080;8,34147;3,13054;84,25061;81,80555;11,26184;19,95640;26,83996;237,15463;24,36646;49,38216;41,84506;11,01153;299,19967;42,39837;186,19630;179,39005;144,45569;51,83355;12,28146;52,91129;24,97435;186,20108;76,24988;131,62710;4,95181;76,34073;6,61115;53,20365;10,79671;246,39642;120,34648;16,51344;46,87136;23,21470;2,30992;113,30169;217,48342;76,65530;8,83273;202,35807;65,29069;3,99060;5,87465;6,67967;125,65347;231,73073;20,09747;31,56294;59,98426;36,99546;98,18798;33,53043;34,86185;28,59479;71,15508;4,89236;50,00411;165,60439;27,06743;161,49345;47,71412;69,20182;412,62446;35,68778;268,57977;64,80708;87,97994;57,57298;171,30139;238,54015;103,50934;173,44346;0,21712;128,52759;128,86358;21,79656;78,99139;59,93090;89,85730;80,56015;50,30120;164,03961;35,89027;50,70878;168,32898;36,46702;87,23562;13,85450;17,14236;17,27602;33,89480;150,24826;81,83544;141,50274;48,10113;67,09972;11,20532;93,73630;73,75204;27,37074;867,71455;124,93187;2,32865;54,51178;97,89936;57,62173;282,62459;83,36003;0,63894;158,41270;13,16060;87,87454;50,15822;68,99937;27,36078;171,91909;47,89413;12,95485;10,96738;45,89945;42,10782;20,11576;8,75848;6,45000;10,75704;59,02594;24,18997;12,59557;1,98101;2,60369;7,76027
