"Signature","colon1","colon2","colon3","intestine1","intestine2","intestine3","liver1","liver2","liver3"
"Signature.1","118.2802532","434.2443907","364.1938768"," 69.1330279","566.2289241","432.7219254"," 19.9151740"," 31.6881887","  2.3983694"
"Signature.2","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  7.2427278","  2.1069603"," 13.0898479","  0.0000000"
"Signature.3","  0.0000000","  0.0000000","  0.0000000","  0.0000000"," 31.0250768","  0.0000000","  0.0000000"," 66.1514174"," 65.3860658"
"Signature.4","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000"," 69.0655402","  0.0000000"
"Signature.5","  0.0000000","  0.0000000","  0.0000000"," 24.4876642","  0.0000000","  0.0000000"," 89.9857544","234.0703336"," 15.8573503"
"Signature.6","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000"
"Signature.7","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000"," 13.2743096","  0.0000000","  5.9981827"
"Signature.8","  0.0000000"," 40.2591665"," 58.2421774"," 18.6832342"," 92.9412543"," 26.3284448","  0.0000000","  3.6756442","  0.0000000"
"Signature.9","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  4.8513534"," 41.7906587","  0.0000000","  0.0000000","  0.0000000"
"Signature.10","  0.0000000","  0.0000000","  0.0000000","  6.7566600"," 10.9437047","  0.0000000","  0.0000000","  0.0000000","  3.9089908"
"Signature.11","  0.0000000","  7.0745029","  0.0000000","  0.0000000"," 19.3650183","  0.0000000","  0.0000000"," 17.5589191"," 24.2388161"
"Signature.12","  0.0000000","  0.0000000","  0.0000000","  0.9916434","  0.0000000","  0.0000000","  0.7841134","  0.0000000","  0.0000000"
"Signature.13","  0.0000000","  0.8810576","  9.2582514","  0.0000000","  2.0151448","  8.8433449","  0.6349410","  9.8587780","  4.1979040"
"Signature.14","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  6.9879225"
"Signature.15"," 17.6194767"," 53.7055134","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000"
"Signature.16"," 44.3999353"," 66.1163711","  0.0000000","  9.6008329"," 56.6311538","  0.0000000","117.5230114","288.1148863"," 56.8242716"
"Signature.17","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.9895261","  0.0000000","  0.0000000","  0.0000000"
"Signature.18","  4.3229302","  7.9197088"," 25.1607358","  0.0000000","  0.0000000","  0.0000000","  6.6343638","  0.0000000"," 13.9082125"
"Signature.19","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.7674659","115.5078255","  0.0000000"
"Signature.20","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000"," 22.8064732","  0.0000000"
"Signature.21","  0.0000000","  0.0000000","  2.4898788","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000"
"Signature.22","  0.0000000","  0.0000000","  1.6892557","  0.0000000","  0.0000000","  1.2450295","  0.0000000","  3.1887977","  0.0000000"
"Signature.23","  0.0000000","  0.0000000","  0.0000000","  0.7154525","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000"
"Signature.24","  5.5795102","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000"
"Signature.25","  0.0000000","  0.0000000","  0.0000000","  4.6239923","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000"
"Signature.26","  0.0000000","  0.0000000","  8.6336357","  0.0000000"," 12.5116856","  0.0000000","  0.0000000","  0.0000000","  0.0000000"
"Signature.27","  1.3361086","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  6.8921793","  0.9515881","  0.0000000"
"Signature.28","  0.0000000","  0.0000000","  7.3619881","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  6.5475294","  0.0000000"
"Signature.29","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  8.0515445","  0.0000000","  7.5833517","  0.0000000","  0.0000000"
"Signature.30"," 16.8131646","  0.0000000","  0.0000000"," 21.8134924","  0.0000000","  0.0000000"," 30.9160986","  8.0496275","  2.1199687"
